no,hvdc_code,mr#,commercial_invoice_no.,invoice_date,po_no.,vendor,category,main_description_(po),sub_description,incoterms,currency,invoice_value__(a),freight__(b),insurance__(c),cif_value__(a+b+c),coe,pol,pod,b/l_no./__awb_no.,vessel_name/__flight_no.,vessel_imo_no.,shipping_line,forwarder,ship__mode,pkg,20dc,40dc,40hq,45hq,20ot(in),20ot(oh),40ot(in),40ot(oh),20fr(in),40fr(in),20fr(fv),40fr(ow),"20fr(ow,oh)","40fr(ow,oh)","40fr(ow,ol)",lcl,qty_of_cntr,g_bulk,o_bulk,h_bulk,gwt__(kg),cbm,r/t__(grand-_total),a_cwt(kg),etd,atd,eta,ata,attestation__date,do_collection,customs__start,customs__close,custom__code,duty_amt__(aed),vat_amt__(aed),shu,mir,das,agi,dsv__indoor,dsv__outdoor,dsv__mzd,jdn__mzd,jdn__waterfront,mosb,aaa_storage,zener_(wh),hauler_dg_storage,vijay_tanks,delivery_date
1,HVDC-ADOPT-PPL-0001,E02,HVDC-ADOPT-PPL-0001,2023-11-10 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,±320kV Land Cable,CIF,EUR,7724999.4,193522.63,115874.99,8034397.02,FRANCE,Le Havre,Mina Zayed,ASLGMS003217/E01,BBC ASIA,9266310.0,BBC,Allied Seafreight Line,B,19,,,,,,,,,,,,,,,,,0.0,,1290.89,,659580.0,1290.89,1290.89,,2023-11-12,2023-11-12,2023-11-30,2023-12-01,2023-11-29,2023-11-30,2023-11-29,45261.0,47150.0,1609553.0,1690031.0,,,,,,,,2023-12-05,,,,,,,2023-12-05
2,HVDC-ADOPT-PPL-0002,E02,HVDC-ADOPT-PPL-0002,2023-11-12 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Onshore Optical Fibre Cable,CIF,EUR,271957.4,1740.0,4080.1,277777.5,FRANCE,Le Havre,Mina Zayed,ASLGMS003218/E01,BBC ASIA,9266310.0,BBC,Allied Seafreight Line,B,12,,1.0,,,,,,,,,,,,,,,1.0,75.0,,,23664.182,75.0,75.0,,2023-11-12,2023-11-12,2023-11-30,2023-12-01,2023-11-29,2023-11-30,2023-11-29,45261.0,47150.0,0.0,55648.0,,,,,,,,2023-12-06,,,,,,,2023-12-06
3,HVDC-ADOPT-HS-0001,M02,HVDC-ADOPT-HS-0001,2023-11-26 00:00:00,HVDC-Carbon steel Plate-'23-1,SCT Trade,Mech,Tank Plate & Accessories,Tank Plate & Accessories,CIF,USD,393147.82,25958.13,943.93,420049.88,KOREA,Dangjin,Jebel Ali,ENC109DANJEB11,ENCORE V109,,,Mariso Shipping,B,66,,,,,,,,,,,,,,,,,0.0,60.13,,,471966.0,60.13,471.966,,2023-11-26,2023-12-03,2024-01-07,2024-01-12,2023-12-08,2024-01-12,2024-01-12,45307.0,89901.0,77562.0,0.0,,,,,,,,,,,,,,2024-01-20,2024-01-20
4,HVDC-ADOPT-PPL-0003,E02,HVDC-ADOPT-PPL-0003,2023-12-17 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,DTS and DAS Monitoritng System,CIF,EUR,2367020.09,1680.0,36071.0,2404771.09,ITALY,La Spezia,Khalifa,ASLGMS003258/E01,MSC Amelia,9702106.0,MSC,Allied Seafreight Line,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,1074.0,12.67,12.67,,2023-12-15,2023-12-17,2024-02-12,2024-02-14,2023-12-20,2024-02-13,2024-02-14,45336.0,47150.0,0.0,472729.0,,,,,2024-02-26,,,,,,,,,,2024-02-26
5,HVDC-ADOPT-PPL-0004,E02,HVDC-ADOPT-PPL-0004,2023-12-17 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Cable Accessories,CIF,EUR,1611059.71,9750.0,24681.8,1645491.51,ITALY,La Spezia,Khalifa,ASLGMS003259/E01,MSC Amelia,9702106.0,MSC,Allied Seafreight Line,C,88,1.0,,6.0,,,,,,,,,,,,,,7.0,,,,27151.0,160.3,160.3,,2023-12-15,2023-12-17,2024-01-30,2024-01-31,2023-12-20,2024-01-31,2024-01-31,45323.0,47150.0,328001.0,344400.0,,,,,,,,2024-02-05,,,,,,,2024-02-05
6,HVDC-ADOPT-PPL-0005,E02,HVDC-ADOPT-PPL-0005,2023-12-21 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Subsea Repair Joint,CIF,EUR,381570.08,2421.0,58868.24,442859.32,ITALY,Port of Pozzuoli,Mina Zayed,NO.2,LEONARDO DA VINCI,9857315.0,,,B,18,,,,,,,,,,,,,,,,,0.0,26.9,,,7645.0,26.9,26.9,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-16,45308.0,47150.0,89070.0,93523.0,,,,,,,,2024-01-07,,,,,,,2024-01-07
7,HVDC-ADOPT-PPL-0006,E02,HVDC-ADOPT-PPL-0006,2023-12-21 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Pulling Stocks,CIF,EUR,50552.04,125.0,736.84,51413.88,ITALY,Port of Pozzuoli,Mina Zayed,NO.4,LEONARDO DA VINCI,9857315.0,,,B,1,,,,,,,,,,,,,,,,,0.0,1.2,,,975.0,1.2,1.2,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-15,45308.0,47150.0,10341.0,10858.0,,,,,,,,2024-01-07,,,,,,,2024-01-07
8,HVDC-ADOPT-PPL-0007,E02,HVDC-ADOPT-PPL-0007,2023-12-21 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Repair Joint for FO Unit,CIF,EUR,33858.46,140.0,482.74,34481.2,ITALY,Port of Pozzuoli,Mina Zayed,NO.5,LEONARDO DA VINCI,9857315.0,,,B,4,,,,,,,,,,,,,,,,,0.0,1.4,,,150.0,1.4,1.4,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-13,45308.0,47150.0,6935.0,7282.0,,,,,,,,2024-01-07,,,,,,,2024-01-07
9,HVDC-ADOPT-PPL-0008,E02,HVDC-ADOPT-PPL-0008,2023-12-21 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Yale Grips,CIF,EUR,126503.2,60.0,1797.04,128360.24,ITALY,Port of Pozzuoli,Mina Zayed,NO.3,LEONARDO DA VINCI,9857315.0,,,B,2,,,,,,,,,,,,,,,,,0.0,0.2,,,597.0,0.2,0.597,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-03,2024-01-13,2024-01-15,45308.0,47150.0,25817.0,27107.0,,,,,,,,2024-01-07,,,,,,,2024-01-07
10,HVDC-ADOPT-PPL-0009,E02,HVDC-ADOPT-PPL-0009,2023-12-22 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable,CIF,EUR,300617.62,314.0,4272.87,305204.49,GERMANY,Nordenham,Mina Zayed,NO.2,ULISSE,,,,B,6,,,,,,,,,,,,,,,,,0.0,2.62,,,560.0,2.62,2.62,,2023-12-22,2023-12-22,2024-03-02,2024-03-02,2024-01-10,2024-03-01,2024-03-02,45353.0,47150.0,60954.0,63624.0,,,,,,,,2024-03-03,,,,,,,2024-03-03
11,HVDC-ADOPT-HE-0001,E01,PRL-DAS-002-O Lot 1,2023-12-01 00:00:00,4572116646,Hitachi,Elec,Main Converter,Bottom Schields,CIF,SEK,6074026.0,553419.0,607402.0,7234847.0,SWEDEN,Gothenburg,Khalifa port,GOT36800012,MSC CHINA,,MSC,Scan Global Logistics AB,C,14,,,7.0,,,,,,,,,,,,,,7.0,,,,16016.0,351.3,351.3,,2023-12-01,2023-12-01,2024-01-11,2024-01-11,2023-12-30,2024-01-13,2024-01-15,45307.0,47150.0,0.0,129401.0,,,2025-05-16 00:00:00,,,2024-01-19,,,,,,,,,2024-01-19
12,HVDC-ADOPT-HE-0002,E01,PRL-DAS-002-O Lot 2,2023-12-04 00:00:00,4572116646,Hitachi,Elec,Main Converter,Part of valve,CIF,SEK,4338590.0,115422.0,433859.0,4887871.0,SWEDEN,Gothenburg,Khalifa port,GOT36800018,MSC AMBRA,,MSC,Scan Global Logistics AB,C,10,,,2.0,,,,,,,,,,,,,,2.0,,,,7456.0,70.8,70.8,,2023-12-07,2023-12-07,2024-01-21,2024-01-21,2024-01-09,2024-01-19,2024-01-23,45314.0,47150.0,0.0,85681.0,,,2025-05-16 00:00:00,,,2024-01-25,,,,2024-05-08,,,,,2024-01-25
13,HVDC-ADOPT-HE-0003,E01,PRL-DAS-002-O Lot 5,2023-12-10 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Serpentine, Side Shields, Bottom Shields (part of valve)",CIF,SEK,25597681.0,2134616.14,2559768.1,30292065.24,SWEDEN,Gothenburg,Khalifa port,GOT36800032,MSC AMBRA,,MSC,Scan Global Logistics AB,C,59,,,10.0,,,,,,,,,,,,,,10.0,,,,35148.0,371.02,371.02,,2023-12-14,2023-12-14,2024-01-21,2024-01-21,2024-01-22,2024-01-19,2024-01-23,45314.0,47150.0,0.0,532948.0,,,2025-06-13 00:00:00,,2024-01-29,2024-01-29,,,,,,,,,2024-01-29
14,HVDC-ADOPT-HE-0004,E01,PRL-DAS-002-O Lot 7,2023-12-21 00:00:00,4572116646,Hitachi,Elec,Main Converter,Top Part Installation (Part of valve),CIF,SEK,15618924.0,1249934.24,1561892.4,18430750.64,SWEDEN,Gothenburg,Khalifa port,GOT36800022,MSC TESSA,,MSC,Scan Global Logistics AB,C,36,,,,,,,,,,9.0,,,,,,,9.0,,,,37440.0,469.24,469.24,,2024-01-03,2024-01-03,2024-02-18,2024-02-18,2024-02-20,2024-02-19,2024-02-19,45341.0,47150.0,0.0,323107.0,,,2025-05-13 00:00:00,,,2024-02-23,,,,,,,,,2024-02-23
15,HVDC-ADOPT-HE-0005,E01,PRL-DAS-002-O Lot 6,2023-12-10 00:00:00,4572116646,Hitachi,Elec,Main Converter,Part of valve,CIF,SEK,35576438.0,355114.74,3557643.8,39489196.54,SWEDEN,Gothenburg,Khalifa port,GOT36800026,MSC Loretto,,MSC,Scan Global Logistics AB,C,82,,,10.0,,,,,,,,,,,,,,10.0,,,,62538.0,391.3,391.3,,2023-12-21,2023-12-21,2024-02-10,2024-02-10,2024-02-12,2024-02-12,2024-02-12,45334.0,47150.0,0.0,692986.0,,,2025-06-17 00:00:00,,2024-02-15,2024-02-15,,,,2025-06-24,,,,,2024-02-15
